name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
wwe 2k24,2024-03-07,165301,99.99,8055097.0,42.36514031444467,71,aaa,2k,visual concepts,2315690
earth defense force 6,2024-07-25,159806,59.99,7882151.0,29.65106126155342,57,indie,d3publisher,sandlot,2291060
sins of a solar empire ii,2024-08-15,214192,49.99,7815247.0,12.45259326556514,88,indie,stardock entertainment,"ironclad games corporation,stardock entertainment",1575940
legend of mortal,2024-06-14,440998,19.99,7756399.0,24.79781729089117,76,indie,"paras games,obb studio inc.",obb studio inc.,1859910
shin megami tensei v: vengeance,2024-06-13,141306,59.99,7629252.0,34.25849627863547,96,aa,sega,atlus,1875830
soulmask,2024-05-30,304685,29.99,7540563.0,95.69781345051696,79,indie,qooland games,campfire studio,2646460
the universim,2024-01-22,328945,29.99,7534369.0,16.86853054897363,81,indie,crytivo,crytivo,352720
bellwright,2024-04-23,280955,29.99,7481940.0,41.418884797624166,78,indie,"donkey crew,snail games usa",donkey crew,1812450
night of the dead,2024-05-31,394364,29.99,7091792.0,27.59707192847936,79,indie,jackto studios,jackto studios,1377380
empires of the undergrowth,2024-06-07,408292,29.99,6950952.0,38.60212424802546,95,aa,"hooded horse,slug disco",slug disco,463530
kingdom hearts -hd 1.5+2.5 remix-,2024-06-13,212325,49.99,6828446.0,30.27494811660254,0,aa,square enix,square enix,2552430
animal well,2024-05-09,305891,24.99,6420393.0,8.485381327666017,96,indie,bigmode,billy basso,813230
age of mythology: retold,2024-09-04,236419,29.99,6381185.0,9.389112456991116,91,aaa,xbox game studios,"world's edge,forgotten empires,tantalus media,captureage,virtuos games",1934680
star wars™: battlefront classic collection,2024-03-13,185054,35.01,6048340.0,4.360934964168404,0,indie,aspyr,aspyr,2446550
another crab's treasure,2024-04-25,264723,29.99,5719324.0,10.434608015373133,95,indie,aggro crab,aggro crab,1887840
homeworld 3,2024-05-13,102487,59.99,5516030.0,8.497439609058835,42,aa,gearbox publishing,blackbird interactive,1840080
winter memories,2024-01-05,424281,19.99,5478333.0,8.98400541606548,0,indie,kagura games,dojin otome,2495450
nine sols,2024-05-28,214407,29.99,5475592.0,17.894843749042394,96,indie,redcandlegames,redcandlegames,1809540
outpost: infinity siege,2024-03-26,278031,24.99,5312327.0,35.08670209892025,68,aa,lightning games,team ranger,1566690
sker ritual,2024-04-18,267953,24.99,5058868.0,6.477539083793293,82,indie,wales interactive,wales interactive,1492070
shapez 2,2024-08-15,261028,24.99,4810868.0,16.307715687349233,99,indie,"tobspr games,gamera games",tobspr games,2162800
senua’s saga: hellblade ii,2024-05-21,107010,49.99,4747832.0,5.160077378916766,88,aaa,xbox game studios,ninja theory,2461850
pixel gun 3d: pc edition,2024-04-02,1626877,0.0,4707782.0,11.89782337701754,62,indie,cubic games studio,cubic games studio,2524890
backpack battles,2024-03-08,499559,12.99,4663468.0,42.85143977627138,90,indie,"playwithfurcifer,indieark",playwithfurcifer,2427700
crime scene cleaner,2024-08-14,285596,19.99,4644684.0,8.5955248244436,98,indie,"president studio,playway s.a.",president studio,1040200
kebab chefs! - restaurant simulator,2024-01-19,312189,17.99,4552032.0,9.479225359641724,89,indie,biotech gameworks,biotech gameworks,1001270
predecessor,2024-08-20,433605,0.0,4523839.944318563,109.91382768034087,79,indie,omeda studios,omeda studios,961200
palia,2024-03-25,881082,0.0,4263470.0,47.02791482592875,78,indie,singularity 6 corporation,singularity 6 corporation,2707930
"little kitty, big city",2024-05-09,206880,24.99,4238137.0,4.143531272874482,95,indie,double dagger studio,double dagger studio,1177980
secrets of grindea,2024-02-29,314988,14.99,4161183.0,21.69826525906877,90,indie,pixel ferrets,pixel ferrets,269770
chrono ark,2024-05-02,301197,24.99,4113334.0,37.2041660638596,91,indie,al fine,al fine,1188930
nova drift,2024-08-12,445361,17.99,4047331.0,24.72868457429413,96,indie,pixeljam,chimeric,858210
kingdom rush 5: alliance td,2024-07-25,245264,19.99,4042356.0,9.09008744972337,86,indie,ironhide game studio,ironhide game studio,2849080
norland,2024-07-18,170621,29.99,3991591.0,18.46350698089453,79,aa,hooded horse,long jaunt,1857090
eiyuden chronicle: hundred heroes,2024-04-23,91925,49.99,3953243.0,26.18784418359856,0,aa,505 games,rabbit & bear studios,1658280
